Regex,Attempt Regex,Positive Strings,Negative Strings
(a|b)(a|b)+aaa+,(ab|aaa),"[aaa, ab]","[bb, abb, aba, aaba, aaab, aaaa]"
a+b,a*,[a],"[bb, aba]"
001|1010|110,(0+1)*01(0+1)*,"[001000101, 010101, 00101001, 0101, 00101]","[01011, 01010, 001110, 001011, 001000, 0010100]"
(0*10*10*)*|0*,0*1(0|11)*,"[011111, 1110]","[111101, 111010, 01100]"
(a*ba*b)*a*ba*,(a|bb)*(a|bb)*,"[bba, bbbb]","[bbbaa, bab, bbab]"
001|1010|110,(0|01),[01],"[011, 1, 0010, 010]"
(ab|ba)*,(aa)*b,"[aab, aaaab]","[aabaa, aabbb, aaab]"
001|1010|110,0|0|1,"[0, 1]","[11, 01, 0010, 10]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+bbb+,"[babbb, bbbbb, bbbbbabbabaabbb, bbbbbabbabbbbabbb, abbbb, aabbb, bbbbbabbababbb, aabbbabbababbb, aabbbabbabbbbabbb, aabbbabbabaabbb]","[aabbbabbabbbbabbba, babbba, bbbbbabbababbba, bbbbba, aabbbabbabaa, aabbba, bbbbbabbabbbbabbba, aabbbabbababbba, abbbba, bbbbbabbabaa]"
a(a|b)a(a|b)*,(a(a|b)b)(a|b)*,"[abb, aabba]","[aa, aba, ab, aaab, ba]"
(a*ba*b)*a*ba*,[a]{1}([a]{2})*,[aaa],"[aaaba, aabb]"
a(a|b)a(a|b)*,a(a|b)b(a|b)*,"[abb, aabba]","[aa, aba, ab, aaab, ba]"
(ab|ba)*,a,[a],"[ab, aaba, b]"
(a|(b*bb))*,(a+b)b(a+b),"[abbab, abbaab, aabbab]","[aa, b, abbaa, abbaba, abbabb, ababa, abbb]"
001|1010|110,0,[0],"[01, 1, 0010]"
001|1010|110,1,[1],"[00, 11, 101]"
a(a|b)a(a|b)*,a(a|b)b(a+b)*,"[aababaab, abbab, aabab]","[bb, aaa, aba, aababaa, aababba, abbabba, abbb, abba, aabb]"
001|1010|110,(1|0)(001|10101|110)*,"[01010110101, 100110101001, 11010100110101, 01010100110101, 110101, 11010110101, 0110001001, 11101010110101, 1110, 0001110110, 1110001001, 010101, 000110101001, 1001110110, 0110, 0001, 1001, 110101110, 01101010110101, 010101110]","[0001000, 0110100, 0110000, 1110111, 110100, 1000, 000110100, 011001, 01011, 00011110, 00011011, 0000, 0100, 1111, 110101111, 010101111, 0110111, 000101, 0101010011001, 011010100, 1001000, 1110100, 1110000, 111001, 111010100, 10011110, 10011011, 001, 100110100, 101, 010100, 1100, 0111, 11011, 110101100, 100101, 010101100, 01101011, 11101011, 1101010011001]"
001|1010|110,(0|1)*0101(0|1)*,"[01001010, 01101000101, 0100110110101, 01101011]","[010010, 010011011, 011010, 01101000]"
a+b,(a*)ba,[aba],"[bb, babb, abaaa]"
(a*ba*b)*a*ba*,(a)*b(a)*b,"[abb, bab]","[bbb, abbaba, ba]"
0+1*,1,[1],"[11, 010, 10]"
(0*10*10*)*|0*,0*10*11,"[0111, 1011]","[1100, 1111, 11101, 10]"
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,[-1],"[-101, 0, 1, -00, -11]"
001|1010|110,[001]|[10101]|[110],"[0, 1]","[000, 11, 01, 10]"
001|1010|110,11010110,[11010110],"[01, 111, 1101010, 110101101, 1100, 110100, 110101100, 11011, 11010111, 10]"
0*10*(10*10*)*,0*(10*1),"[011, 101]","[111, 011010, 10]"
a+b,ba+,[baa],"[bb, aba, bab, baab]"
(a|b)*baa(a|b)*b,a(a*)b,"[ab, aab]","[aa, b, abaa, abbb]"
a(a|b)a(a|b)*,abba,[abba],"[aaa, b, abbaa, abbab, abbb, abab]"
001|1010|110,(0|1)*0101(0|1),"[0110101101011101010, 011010111010110101001001010, 01011101011, 01010010111101010, 01010110101110101001001010, 010111010101001101010, 0101101101101010, 0101001101011101010, 0101011101010, 01011101001101010, 0110101001010, 010101101101010, 0101101010100101101001011101010]","[0101110101010011, 01011010101001011010010111, 011010100101001, 01011011011, 01101011010111, 0101011010111010100100101001, 01010011010111, 010100101111, 010111010011, 0101110101101, 0101011011, 01101011101011010100100, 01010111010]"
(a*ba*b)*a*ba*,(bb)+,[bbbb],"[bba, bbbaa, ab, bbbba, ba]"
0*10*(10*10*)*,0*|1(1)0*,"[0, 11]","[111, 101, 010]"
b*a*,a(a*)b,"[ab, aab]","[aa, abb, b, ababa]"
(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,"[aabbaabaa, aabbaabbaabaa, aaababaaa, aaabaaabaa, abaaa, aaabaabaaabaa, aaabbaabbaabaa, aabbaababaaa, abbaabaaa, aababaaa, aabaaabbaabaa, aabaabbaabaa, aabbaabaaaabaa, aabbbaabbaabaa, abaabaaa]","[aaabaabaaa, aaabbaaa, aabbab, aababab, aabbbaabb, aabbaababab, aabbaabaaaa, aabaabbaaa, aabbaabbaba, aaababaaaab, aababaaaa, abbaab, aabbaababaaaa, abaabab, aabaaabbab, aabbaababaaab, aababaaab, b, aaababab, aaabbab, aaabaaa, aaababaaab, aabaabbab, abab, aabbaaa, abaabaaab, abaabaaaa, aabaaabbaaa, aabbaabbaaa, abaaaa, abaaab]"
b*a*,(b|a)*(baa)+(a|b)*b+,"[bbabaab, abaab, babaabbab, baabaab]","[abaaba, babaabbaba, bbab, baabaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"[011, 0101, 11010, 10100, 01001]","[01010, 1101, 0110, 101001, 0100]"
(a|baa)*,a*b(a*ba*b)*a,"[bbbaaabba, babbaabba, bbbabbaababa, baabbabbaabbaabba]","[babbaabb, bbbaaa, bbbabbaaba, baabbabbaabbaa]"
0*10*(10*10*)*,0*,[0],[0110]
a+b,(a*b)*a,"[aabaaaba, babaaba, aababaaba]","[babaab, aabaaa, aababaa]"
001|1010|110,((0|01)(1|10)),"[0110, 010]","[001, 1, 0101, 0100, 0111, 01101, 01100]"
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"[00101, 00001, 00100, 01111, 01011, 01110, 01010, 10011, 10110, 11001, 11100, 10010, 11000, 10111, 11101, 0000111001000, 1111111001001, 11010, 00011, 00110, 01101, 00111, 01001, 01100, 0000011100100, 01000, 00010, 10000, 11111, 11011, 11110, 10101, 10001, 10100]","[000011, 00000111001000, 001100, 110101, 00000111001001, 001101, 101110, 111111, 110100, 101111, 010011, 011101, 010010, 011100, 101101, 111000, 001110, 101000, 111100, 110011, 100110, 101001, 111101, 010000, 111111100100, 011011, 010001, 100100, 111110, 100101, 000010, 000111, 000110, 001001, 101010, 110000, 101011, 100000, 110001, 000011100100, 011010, 010110, 011000, 010111, 011001, 100111, 110010, 001010, 001011, 000101, 000100, 001111, 100010, 110110, 111001, 101100, 100011, 110111, 011110, 010101, 010100, 011111, 111010, 100001, 111011, 001000]"
0*10*(10*10*)*,(0*10*10*10*10*)*,"[0111111110, 001111, 1111, 111110111, 111111101, 111111011]","[00, 11111, 1111110, 111110, 01111111101, 11111110]"
001|1010|110,(1|0)(001|1010|110)*,"[0001110, 0110001, 01010001001, 1001001, 1001110, 1110001, 11010, 0101011010101010, 1110, 01010, 0110, 1101011010101010, 0001, 1001, 000110101101010, 11010001001, 100110101101010, 0001001]","[0001000, 0110000, 011010111, 11010110100, 1001111, 1110111, 111010111, 1000, 011001, 01011, 00011011, 0000, 0100, 1111, 1001010, 1101001, 0001100, 0110111, 0001010, 1001100, 1001000, 1110000, 111001, 10011011, 0101001, 001, 101, 1100, 0111, 01010100, 01010000, 11011, 11010000, 11010100, 01010110100, 0001111]"
(a*ba*b)*a*ba*,a*b(a*ba*b)*b,"[babbbabb, bbbabbb, bbababbaabbb, bbbbabbabababb]","[bbbab, bbababbaa, babbbabba, bbbbabbababa]"
(a|baa)*,abb*,[abb],"[aaa, b, abba, abab]"
(a*ba*b)*a*ba*,a*b(a|(ba*b))b,"[bbabb, bbbb, abab]","[bba, baba, babb, bbba, bbbbb, bbbba, abaaba]"
(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,"[baaa, baabaa]","[baaabb, baabbba, baabab]"
(a|b)*baa(a|b)*b,a+|b*a*,[baa],"[babba, aab]"
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),"[110110110011, 110101, 01101101111011, 1111011011, 110011, 1101111, 11101011, 111101111, 1101101111011]","[111101110, 1101110, 11011011110, 11010, 1100, 1110, 11011110100, 1101111101, 1101101100, 1111011010, 011011010]"
