Regex,Attempt Regex,Positive Strings,Negative Strings
001|1010|110,1,[1],[]
a(a|b)a(a|b)*,a(a|b)b(a+b)*,"[aab, aabaab, aabab, aababab, abb, abbab]",[aabb]
001|1010|110,(1|0)(001|10101|110)*,"[0, 0001, 1, 1001, 1001001, 110101, 1110]",[]
001|1010|110,(0|1)*0101(0|1)*,"[0001010, 00101, 001010, 0010100, 001011, 0101, 01010, 101010]",[]
a+b,(a*)ba,"[aaba, aba, ba]",[]
(a*ba*b)*a*ba*,(a)*b(a)*b,"[aabab, abaab, abab, abb, bab, bb]",[]
0+1*,1,[1],[]
(0*10*10*)*|0*,0*10*11,"[001011, 010011, 01011, 0111, 1011, 111]",[]
(0|1)(0|1)|(0|1)(0|1)(0|1),-1,[-1],[]
001|1010|110,[001]|[10101]|[110],"[0, 1]",[2]
001|1010|110,11010110,[11010110],[]
0*10*(10*10*)*,0*(10*1),"[00101, 01001, 0101, 011, 101, 11]",[]
a+b,ba+,"[ba, baa]",[b]
(a|b)*baa(a|b)*b,a(a*)b,"[aaab, aab, ab]",[]
a(a|b)a(a|b)*,abba,[abba],[]
001|1010|110,(0|1)*0101(0|1),"[0001010, 001010, 001011, 01010, 01011, 101010]",[]
(a*ba*b)*a*ba*,(bb)+,"[bb, bbbb]",[]
0*10*(10*10*)*,0*|1(1)0*,"[, 0, 00, 11, 110, 1100]",[]
b*a*,a(a*)b,"[aaab, aab, ab]",[]
(ab|ba)*,(a+a(b+aa)*b)*a(b+aa)*a,"[aa, aaaababaaa, aaabaababaaa, aabaabaa, aabaabaabaababaaa, aabaabaababaaa, aabaababaaa, aabaababaabaaa, aabaababbaaa, aababaaa, aabbaababaaa, abaaa]","[aabaabaaaa, abaababaaa]"
b*a*,(b|a)*(baa)+(a|b)*b+,"[abaaab, baaab, baab, bbaaaab, bbaaab, bbaaabb, bbaab, bbaabaaab, bbaabb, bbbaaab]","[bab, bbaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*1)|(1(1|0)*0),"[0001, 001, 01, 011, 10, 100, 110, 1110]",[]
(a|baa)*,a*b(a*ba*b)*a,"[aabababa, aba, abaababa, ababaaba, abababa, abababababa, ababba, abbaba, ba, bababa]",[]
0*10*(10*10*)*,0*,"[, 0, 00]",[]
a+b,(a*b)*a,"[a, aaba, aba, ababa, ba]",[]
001|1010|110,((0|01)(1|10)),"[01, 010, 011]",[]
(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))+((0|1)(0|1)(0|1)),"[00000, 0000000, 00001, 00010, 00100, 01000, 10000]",[000]
0*10*(10*10*)*,(0*10*10*10*10*)*,"[, 0010101010, 0100101010, 0101001010, 0101010010, 01010101, 010101010, 0101010100, 010101010010101010, 01010110, 01011010, 01101010, 10101010]",[]
001|1010|110,(1|0)(001|1010|110)*,"[0, 0001, 1, 1001, 1001001, 11010, 1110]",[]
(a*ba*b)*a*ba*,a*b(a*ba*b)*b,"[aabababb, abaababb, ababaabb, abababababb, abababb, ababbb, abb, abbabb, bababb, bb]",[]
(a|baa)*,abb*,"[ab, abb, abbb]",[]
(a*ba*b)*a*ba*,a*b(a|(ba*b))b,"[aabab, abab, abbaabb, abbabb, abbbb, bab, bbbb]",[]
(a|b)*baa(a|b)*b,(a)*(baa)*((a)*(baa)*)*,"[, aabaa, aabaaabaa, abaa, abaaa, abaaaabaa, abaaabaa, abaaabaaabaa, abaaabaabaa, abaabaa, abaabaaabaa, baaabaa]",[]
(a|b)*baa(a|b)*b,a+|b*a*,"[, a, aa, b, ba, baa, bba]",[]
0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*1),"[001010101011, 00101011, 010010101011, 010100101011, 010101001011, 01010101, 010101010011, 01010101011, 01010101011011, 0101010111, 0101011011, 01011010101011, 0101101011, 0110101011, 1010101011, 11]",[]
